"","genus","species","plot_type","weight"
"1","Sigmodon","hispidus","Control",140
"2","Sigmodon","hispidus","Short-term Krat Exclosure",132
"3","Sigmodon","hispidus","Long-term Krat Exclosure",127
"4","Sigmodon","hispidus","Long-term Krat Exclosure",123
"5","Sigmodon","hispidus","Short-term Krat Exclosure",123
"6","Sigmodon","hispidus","Long-term Krat Exclosure",120
"7","Sigmodon","hispidus","Long-term Krat Exclosure",114
"8","Sigmodon","hispidus","Long-term Krat Exclosure",111
"9","Sigmodon","hispidus","Rodent Exclosure",110
"10","Sigmodon","hispidus","Long-term Krat Exclosure",108
"11","Sigmodon","hispidus","Control",106
"12","Sigmodon","hispidus","Long-term Krat Exclosure",105
"13","Sigmodon","hispidus","Control",104
"14","Sigmodon","hispidus","Long-term Krat Exclosure",103
"15","Sigmodon","hispidus","Control",102
"16","Sigmodon","hispidus","Control",101
"17","Sigmodon","hispidus","Long-term Krat Exclosure",101
"18","Sigmodon","hispidus","Long-term Krat Exclosure",100
"19","Sigmodon","hispidus","Control",99
"20","Sigmodon","hispidus","Long-term Krat Exclosure",98
"21","Sigmodon","hispidus","Long-term Krat Exclosure",98
"22","Sigmodon","hispidus","Long-term Krat Exclosure",98
"23","Sigmodon","hispidus","Long-term Krat Exclosure",96
"24","Sigmodon","hispidus","Control",96
"25","Sigmodon","hispidus","Long-term Krat Exclosure",95
"26","Sigmodon","hispidus","Rodent Exclosure",93
"27","Sigmodon","hispidus","Control",92
"28","Sigmodon","hispidus","Rodent Exclosure",92
"29","Sigmodon","hispidus","Long-term Krat Exclosure",90
"30","Sigmodon","hispidus","Long-term Krat Exclosure",90
"31","Sigmodon","hispidus","Control",90
"32","Sigmodon","hispidus","Control",89
"33","Sigmodon","hispidus","Control",89
"34","Sigmodon","hispidus","Rodent Exclosure",89
"35","Sigmodon","hispidus","Long-term Krat Exclosure",88
"36","Sigmodon","hispidus","Long-term Krat Exclosure",86
"37","Sigmodon","hispidus","Short-term Krat Exclosure",86
"38","Sigmodon","hispidus","Long-term Krat Exclosure",85
"39","Sigmodon","hispidus","Long-term Krat Exclosure",85
"40","Sigmodon","hispidus","Long-term Krat Exclosure",84
"41","Sigmodon","hispidus","Long-term Krat Exclosure",82
"42","Sigmodon","hispidus","Control",82
"43","Sigmodon","hispidus","Control",82
"44","Sigmodon","hispidus","Control",81
"45","Sigmodon","hispidus","Long-term Krat Exclosure",81
"46","Sigmodon","hispidus","Control",80
"47","Sigmodon","hispidus","Long-term Krat Exclosure",80
"48","Sigmodon","hispidus","Long-term Krat Exclosure",80
"49","Sigmodon","hispidus","Long-term Krat Exclosure",80
"50","Sigmodon","hispidus","Control",79
"51","Sigmodon","hispidus","Control",79
"52","Sigmodon","hispidus","Control",79
"53","Sigmodon","hispidus","Long-term Krat Exclosure",78
"54","Sigmodon","hispidus","Control",78
"55","Sigmodon","hispidus","Long-term Krat Exclosure",77
"56","Sigmodon","hispidus","Spectab exclosure",77
"57","Sigmodon","hispidus","Control",75
"58","Sigmodon","hispidus","Short-term Krat Exclosure",75
"59","Sigmodon","hispidus","Long-term Krat Exclosure",75
"60","Sigmodon","hispidus","Rodent Exclosure",74
"61","Sigmodon","hispidus","Control",73
"62","Sigmodon","hispidus","Long-term Krat Exclosure",73
"63","Sigmodon","hispidus","Rodent Exclosure",73
"64","Sigmodon","hispidus","Long-term Krat Exclosure",72
"65","Sigmodon","hispidus","Control",72
"66","Sigmodon","hispidus","Long-term Krat Exclosure",71
"67","Sigmodon","hispidus","Long-term Krat Exclosure",70
"68","Sigmodon","hispidus","Control",70
"69","Sigmodon","hispidus","Short-term Krat Exclosure",70
"70","Sigmodon","hispidus","Control",69
"71","Sigmodon","hispidus","Control",68
"72","Sigmodon","hispidus","Long-term Krat Exclosure",67
"73","Sigmodon","hispidus","Long-term Krat Exclosure",67
"74","Sigmodon","hispidus","Long-term Krat Exclosure",67
"75","Sigmodon","hispidus","Control",66
"76","Sigmodon","hispidus","Rodent Exclosure",66
"77","Sigmodon","hispidus","Control",65
"78","Sigmodon","hispidus","Long-term Krat Exclosure",65
"79","Sigmodon","hispidus","Long-term Krat Exclosure",65
"80","Sigmodon","hispidus","Control",64
"81","Sigmodon","hispidus","Short-term Krat Exclosure",64
"82","Sigmodon","hispidus","Long-term Krat Exclosure",64
"83","Sigmodon","hispidus","Long-term Krat Exclosure",63
"84","Sigmodon","hispidus","Control",62
"85","Sigmodon","hispidus","Long-term Krat Exclosure",62
"86","Sigmodon","hispidus","Long-term Krat Exclosure",61
"87","Sigmodon","hispidus","Control",61
"88","Sigmodon","hispidus","Long-term Krat Exclosure",61
"89","Sigmodon","hispidus","Long-term Krat Exclosure",60
"90","Sigmodon","hispidus","Control",60
"91","Sigmodon","hispidus","Rodent Exclosure",60
"92","Sigmodon","hispidus","Long-term Krat Exclosure",60
"93","Sigmodon","hispidus","Long-term Krat Exclosure",59
"94","Sigmodon","hispidus","Control",58
"95","Sigmodon","hispidus","Control",58
"96","Sigmodon","hispidus","Control",57
"97","Sigmodon","hispidus","Long-term Krat Exclosure",57
"98","Sigmodon","hispidus","Long-term Krat Exclosure",57
"99","Sigmodon","hispidus","Short-term Krat Exclosure",57
"100","Sigmodon","hispidus","Short-term Krat Exclosure",57
"101","Sigmodon","hispidus","Long-term Krat Exclosure",55
"102","Sigmodon","hispidus","Long-term Krat Exclosure",55
"103","Sigmodon","hispidus","Rodent Exclosure",52
"104","Sigmodon","hispidus","Long-term Krat Exclosure",51
"105","Sigmodon","hispidus","Long-term Krat Exclosure",51
"106","Sigmodon","hispidus","Control",51
"107","Sigmodon","hispidus","Short-term Krat Exclosure",50
"108","Sigmodon","hispidus","Control",49
"109","Sigmodon","hispidus","Control",48
"110","Sigmodon","hispidus","Long-term Krat Exclosure",47
"111","Sigmodon","hispidus","Long-term Krat Exclosure",45
"112","Sigmodon","hispidus","Control",43
"113","Sigmodon","hispidus","Long-term Krat Exclosure",43
"114","Sigmodon","hispidus","Short-term Krat Exclosure",43
"115","Sigmodon","hispidus","Short-term Krat Exclosure",43
"116","Sigmodon","hispidus","Long-term Krat Exclosure",43
"117","Sigmodon","hispidus","Control",42
"118","Sigmodon","hispidus","Long-term Krat Exclosure",42
"119","Sigmodon","hispidus","Control",38
"120","Sigmodon","hispidus","Short-term Krat Exclosure",38
"121","Sigmodon","hispidus","Short-term Krat Exclosure",38
"122","Sigmodon","hispidus","Short-term Krat Exclosure",35
"123","Sigmodon","hispidus","Control",32
"124","Sigmodon","hispidus","Long-term Krat Exclosure",31
"125","Sigmodon","hispidus","Long-term Krat Exclosure",30
"126","Sigmodon","hispidus","Short-term Krat Exclosure",28
"127","Sigmodon","hispidus","Control",26
"128","Sigmodon","hispidus","Long-term Krat Exclosure",16
